teryt,municipality,%_vaccinated
3028033,gm.m-w. Gołańcz,49.9572
1212032,gm.w Bolesław,49.9547
3211033,gm.m-w. Nowe Warpno,49.9384
3002052,gm.w Lubasz,49.9349
207022,gm.w Kamienna Góra,49.9278
2613063,gm.m-w. Włoszczowa,49.9164
1406032,gm.w Chynów,49.9137
209042,gm.w Kunice,49.9092
218032,gm.w Miękinia,49.9063
1611053,gm.m-w. Strzelce Opolskie,49.8827
223062,gm.w Mietków,49.8796
1011043,gm.m-w. Uniejów,49.8562
2613032,gm.w Moskorzew,49.8472
3028062,gm.w Wapno,49.8465
2417062,gm.w Lipowa,49.8436
408032,gm.w Chrostkowo,49.8422
419022,gm.w Gąsawa,49.837
2815022,gm.w Dąbrówno,49.8229
2608052,gm.w Złota,49.8197
3006043,gm.m-w. Żerków,49.8189
2819012,gm.w Budry,49.8188
809082,gm.w Trzebiechów,49.8056
1419132,gm.w Stara Biała,49.8045
3206072,gm.w Stare Czarnowo,49.8025
201011,Bolesławiec,49.7947
2804073,gm.m-w. Pasłęk,49.7839
2608032,gm.w Michałów,49.7343
3012033,gm.m-w. Koźmin Wielkopolski,49.7336
1212062,gm.w Trzyciąż,49.7088
2414042,gm.w Bojszowy,49.7079
2608022,gm.w Kije,49.6991
3215043,gm.m-w. Borne Sulinowo,49.6951
2612073,gm.m-w. Staszów,49.674
1206132,gm.w Sułoszowa,49.6642
3218023,gm.m-w. Łobez,49.6489
609082,gm.w Konopnica,49.625
3209022,gm.w Biesiekierz,49.618
401052,gm.w Bądkowo,49.6059
1002113,gm.m-w. Żychlin,49.5786
415052,gm.w Łubianka,49.5698
3010142,gm.w Wilczyn,49.5632
418092,gm.w Kowal,49.5509
1424043,gm.m-w. Pułtusk,49.5471
1463011,Radom,49.5471
218043,gm.m-w. Środa Śląska,49.5048
3208033,gm.m-w. Gościno,49.5032
614052,gm.w Końskowola,49.5011
2404152,gm.w Rędziny,49.4822
406062,gm.w Świecie nad Osą,49.4821
604011,Hrubieszów,49.4719
210072,gm.w Siekierczyn,49.4686
1006113,gm.m-w. Tuszyn,49.466
208031,Kudowa-Zdrój,49.4576
215022,gm.w Domaniów,49.4544
2412042,gm.w Lyski,49.4419
225011,Zawidów,49.4192
226011,Wojcieszów,49.4121
1414043,gm.m-w. Nasielsk,49.4108
405043,gm.m-w. Kowalewo Pomorskie,49.4043
1218082,gm.w Tomice,49.398
219063,gm.m-w. Strzegom,49.3941
2602072,gm.w Słupia,49.3922
2462011,Bytom,49.389
221021,Jedlina-Zdrój,49.3631
2473011,Rybnik,49.3612
222013,gm.m-w. Brzeg Dolny,49.3444
3028042,gm.w Mieścisko,49.3315
2814013,gm.m-w. Barczewo,49.3165
3008072,gm.w Trzcinica,49.3109
1424022,gm.w Obryte,49.3099
2803043,gm.m-w. Lidzbark,49.3069
1002102,gm.w Strzelce,49.3063
2402011,Szczyrk,49.2995
2607011,Ostrowiec Świętokrzyski,49.2968
804082,gm.w Siedlisko,49.2966
1003023,gm.m-w. Łask,49.2699
3020052,gm.w Gołuchów,49.2644
3004023,gm.m-w. Gostyń,49.2624
1428022,gm.w Brochów,49.2571
3010123,gm.m-w. Ślesin,49.2563
1010072,gm.w Ręczno,49.2554
